match_id,country_id,home_team_api_id,away_team_api_id,mdatetime,pdatetime,home_player_1,home_player1_age,home_player1_overall_rating,home_player_2,home_player2_age,home_player2_overall_rating,home_player_3,home_player3_age,home_player3_overall_rating,home_player_4,home_player4_age,home_player4_overall_rating,home_player_5,home_player5_age,home_player5_overall_rating,home_player_6,home_player6_age,home_player6_overall_rating,home_player_7,home_player7_age,home_player7_overall_rating,home_player_8,home_player8_age,home_player8_overall_rating,home_player_9,home_player9_age,home_player9_overall_rating,home_player_10,home_player10_age,home_player10_overall_rating,home_player_11,home_player11_age,home_player11_overall_rating,home_team_average_height,home_team_average_attacking_work_rate,home_team_average_defensive_work_rate,home_team_average_fieldskills,home_team_average_shootingskills,home_team_average_physicalattributes,home_team_average_goalkeepingskills,away_player_1,away_player1_age,away_player1_overall_rating,away_player_2,away_player2_age,away_player2_overall_rating,away_player_3,away_player3_age,away_player3_overall_rating,away_player_4,away_player4_age,away_player4_overall_rating,away_player_5,away_player5_age,away_player5_overall_rating,away_player_6,away_player6_age,away_player6_overall_rating,away_player_7,away_player7_age,away_player7_overall_rating,away_player_8,away_player8_age,away_player8_overall_rating,away_player_9,away_player9_age,away_player9_overall_rating,away_player_10,away_player10_age,away_player10_overall_rating,away_player_11,away_player11_age,away_player11_overall_rating,away_team_average_height,away_team_average_attacking_work_rate,away_team_average_defensive_work_rate,away_team_average_fieldskills,away_team_average_shootingskills,away_team_average_physicalattributes,away_team_average_goalkeepingskills,home_team_buildUpskills,home_team_chanceCreationSkills,home_team_defenceSkills,home_team_buildUpPlayPositioningClass,home_team_defenceDefenderLineClass,home_team_chanceCreationPositioningClass,away_team_buildUpskills,away_team_chanceCreationSkills,away_team_defenceSkills,away_team_buildUpPlayPositioningClass,away_team_defenceDefenderLineClass,away_team_chanceCreationPositioningClass,winner
1992225,24558,9931,9956,2016-05-25,2015-10-02,42113,35,64,458806,22,68,705484,18,52,22834,28,78,181211,26,74,438780,22,69,114738,26,76,25794,31,66,34035,33,76,40274,27,71,726956,19,54,180.34,21,20,52.99,48.06,65.62,15.24,132814,25,65,274779,24,60,177689,25,63,696435,18,48,42258,27,62,173936,28,67,39979,33,75,614540,18,61,291106,23,61,80564,29,74,289472,24,74,182.19,20,19,51.71,45.46,63.03,15.47,56.67,62,52.67,Organised,Cover,Organised,54.67,50.67,42,Organised,Cover,Organised,9956
1992226,24558,7896,10190,2016-05-25,2016-03-10,330458,22,61,282287,23,61,429986,24,57,41415,31,62,114212,25,57,340790,20,60,491221,21,59,8893,29,61,406283,24,52,614454,19,61,178142,25,62,178.72,21,18,45.16,35.3,60.14,15.6,25779,35,60,678384,18,53,638592,21,60,413155,22,65,210423,26,68,45780,31,59,176298,24,63,119839,25,66,566785,19,68,92094,28,66,35831,32,67,180.8,23,20,50.31,43.76,62.43,15.36,,,,,,,48.67,38.33,42.67,Organised,Cover,Organised,7896
1992227,24558,10199,10179,2016-05-25,2016-03-10,42276,32,65,114792,28,60,150007,25,64,178119,33,66,42294,29,65,32343,30,67,260708,23,63,92252,28,68,95257,27,70,36382,28,67,34082,31,68,180.34,21,20,53.81,47.88,63.27,14.25,441302,20,64,67349,29,67,450493,22,69,32597,30,73,140495,28,69,106559,27,66,25840,30,68,634310,20,56,95230,33,70,427439,27,68,38601,36,74,180.8,22,19,55.43,53.85,66.25,15.15,55,53.33,50.33,Organised,Cover,Organised,51.67,55,48.67,Organised,Cover,Organised,0
1992228,24558,10191,10192,2016-05-25,2015-09-25,462944,23,59,239959,23,57,67304,30,57,320183,22,56,42257,28,61,93223,31,64,133126,29,63,112981,28,58,67389,31,61,232110,23,61,113237,26,65,181.73,20,21,47.73,43.67,61.27,14.58,25947,33,65,25843,30,67,108451,29,71,25815,32,72,733787,18,51,25860,32,71,245161,27,69,320184,22,65,45174,27,75,71764,29,72,37554,32,74,182.42,20,19,54.56,51.33,65.58,15.07,50.67,55.33,48.33,Organised,Cover,Organised,57.33,50.33,42.67,Organised,Cover,Organised,10192
1992229,24558,10243,9824,2016-05-25,2015-11-12,7621,32,60,197757,28,63,115700,29,67,113235,32,61,121080,25,66,41116,34,74,632356,23,55,465399,23,67,462608,22,60,198082,23,65,3517,33,77,181.73,20,20,51.97,43.94,62.75,14.95,154261,26,55,294256,22,69,257845,24,58,41621,27,57,214344,25,57,114011,26,63,56868,28,57,488297,21,59,113227,28,69,531309,20,52,493418,22,54,182.65,20,18,49.24,42.88,59.35,13.65,52.33,50.33,48.67,Organised,Cover,Organised,47,45.67,44.33,Organised,Cover,Organised,10243
1992221,24558,9956,10191,2016-05-22,2016-04-07,132814,25,65,274779,24,60,177689,25,63,696435,18,48,42258,27,62,173936,27,67,39979,33,75,614540,18,61,451983,21,68,80564,29,74,289472,24,74,182.65,20,18,51.57,45.88,63.39,15.6,462944,23,59,239959,23,57,67304,30,57,320183,22,56,42257,28,61,93223,31,64,133126,29,63,112981,28,58,25809,33,65,232110,23,61,113237,26,65,181.49,20,21,47.7,44.06,61.12,14.47,54.67,50.67,42,Organised,Cover,Organised,50.67,55.33,48.33,Organised,Cover,Organised,0
1992222,24558,10179,10243,2016-05-22,2016-02-11,441302,20,64,67349,29,67,202663,24,66,32597,30,73,140495,28,69,451335,20,67,25840,30,68,482200,22,67,104389,26,75,106559,27,66,275122,23,73,183.11,22,19,54.54,54.85,67.81,15.47,7621,32,60,34268,34,64,197757,28,63,113235,32,61,121080,25,66,41116,34,74,632356,23,55,465399,23,67,198082,23,65,3517,33,77,194532,25,68,182.19,21,20,52.57,44.85,63.55,15.29,51.67,55,48.67,Organised,Cover,Organised,52.33,50.33,48.67,Organised,Cover,Organised,0
1992223,24558,9824,7896,2016-05-22,2016-03-10,33272,34,62,294256,22,69,257845,24,58,41621,27,57,114735,26,59,42237,29,62,114011,26,63,56868,28,57,308309,24,65,254704,24,64,113227,28,69,182.65,19,20,51.88,47.51,61.76,14.76,330458,22,61,282287,23,61,429986,24,57,41415,31,62,114212,25,57,491221,21,59,393337,28,60,340790,20,60,406283,24,52,614454,19,61,178142,24,62,179.42,22,18,45.72,35.45,60.08,15.31,47,45.67,44.33,Organised,Cover,Organised,,,,,,,0
1992224,24558,10192,9931,2016-05-22,2015-10-09,274787,21,72,492132,21,69,108451,29,71,25815,32,72,94553,25,68,147959,26,72,320184,22,65,119702,29,60,45174,27,75,71764,29,72,37554,32,74,184.03,22,20,55.91,53.58,66.23,16.02,156175,27,75,458806,22,68,22834,28,78,705484,18,52,181211,26,74,438780,22,69,114738,26,76,402975,22,75,34035,33,76,384376,24,72,726956,19,54,179.65,21,20,53.27,50.42,65.45,16.44,57.33,50.33,42.67,Organised,Cover,Organised,56.67,62,52.67,Organised,Cover,Organised,9931
1992234,24558,10190,10199,2016-05-22,2015-09-25,25779,35,60,678384,18,53,95220,25,63,638592,21,60,413155,22,65,45780,31,59,35831,32,67,119839,25,66,566785,19,68,176298,24,63,278917,23,73,179.65,23,20,50.19,46.06,62.06,15.51,42276,32,65,92252,28,68,150007,25,64,178119,33,66,114792,28,60,95257,27,70,260708,23,63,570830,20,57,36382,28,67,304860,21,67,34082,31,68,180.8,20,19,52.15,47.36,62.65,15.13,48.67,38.33,42.67,Organised,Cover,Organised,55,53.33,50.33,Organised,Cover,Organised,10199
